game_id,team1_id,team2_id,map,winner_id,w_score,l_score
10427,117,132,Lotus,117,13,11
10428,113,130,Fracture,113,13,9
10429,113,130,Bind,113,13,4
10430,105,102,Split,105,13,10
10431,105,102,Bind,105,13,10
10432,132,125,Lotus,132,13,6
10433,132,125,Fracture,132,13,10
10434,102,130,Pearl,130,13,11
10435,102,130,Haven,130,13,5
10436,117,127,Fracture,127,13,2
10437,117,127,Haven,127,13,9
10438,105,113,Lotus,113,13,5
10439,105,113,Bind,113,13,7
10440,117,130,Haven,130,14,12
10441,117,130,Ascent,117,13,8
10442,117,130,Split,130,13,5
10443,105,132,Fracture,105,14,12
10444,105,132,Split,132,13,9
10445,105,132,Lotus,105,13,8
10446,113,127,Lotus,113,13,3
10447,113,127,Fracture,127,13,9
10448,113,127,Split,113,13,11
10449,130,105,Pearl,105,15,13
10450,130,105,Lotus,130,13,6
10451,130,105,Bind,105,13,11
10452,127,105,Fracture,127,13,7
10453,127,105,Lotus,105,14,12
10454,127,105,Split,105,13,10
10455,127,105,Pearl,127,13,6
10456,127,105,Ascent,127,13,8
10457,113,127,Lotus,113,13,8
10458,113,127,Split,113,13,11
10459,113,127,Bind,113,14,12
10460,108,106,Fracture,108,13,7
10461,108,106,Ascent,108,13,8
10462,109,104,Split,109,13,10
10463,109,104,Ascent,109,13,10
10464,110,108,Pearl,108,13,11
10465,110,108,Split,110,13,10
10466,110,108,Haven,110,15,13
10467,101,109,Haven,109,13,2
10468,101,109,Split,101,13,8
10469,101,109,Ascent,101,21,19
10470,107,110,Haven,107,13,6
10471,107,110,Ascent,107,13,8
10472,101,107,Lotus,101,13,9
10473,101,107,Fracture,101,13,7
10474,109,110,Haven,110,13,6
10475,109,110,Lotus,109,13,2
10476,109,110,Ascent,110,13,7
10477,107,110,Haven,110,13,10
10478,107,110,Pearl,107,13,11
10479,107,110,Ascent,107,13,2
10480,107,110,Lotus,107,13,6
10481,101,107,Fracture,101,14,12
10482,101,107,Ascent,107,13,9
10483,101,107,Split,101,13,7
